原文,生词,解释,备注
,obscure,使…模糊不清,
,paleontologist,古生物学者,
,punctuated,不时打断,
,jerky,忽动忽停的,
"TPO 31-1

Speciation in Geographically Isolated Populations",speciation,物种形成,
,subpopulation,子总体,
,variant,不同的、变异的,
,interbreed,异种交配,
,allopatry,异域分布,
,intermittent,间歇的,
,trickle,细流,
,monstrous,巨大的,
,divergence,分叉、分歧,
,imperceptibly,不知不觉地,
,colossal,巨大的,
,isthmus,地峡,
,electrophoresis,电泳疗法,gel electrophoresis：凝胶电泳
"TPO 31-2
Early Childhood Education",geared,为…而准备,be geared toward…
,readiness,准备就绪,
,,,
"TPO 32-1

Plant Colonization",spore,孢子,
,propagule,繁殖体,
,dispersal,散布,动词：disperse
,viable,能自行生产发育的，切实可行的,
,germinate,发芽、生长,
,ameliorate,改善,
"TPO 32-2

Siam, 1851-1910",displace,替换、取代,
,enticed,诱惑、怂恿,
,census,人口普查,
,aristocracy ,贵族,
,homogenous,同质的,
,arbitrary,专制的、任意的、武断的,
"TPO 33-1

The First Civilizations",culminate,以…结束、告终,
,prehistorian,史前学家,
,forage,寻找粮草,
,floodplain,漫滩,
,prowess,高超技艺,
,hereditary,世袭的,
,monarchy,君主政治,
,imposing,壮观的,
,precinct,管辖区,
,ostentatious,浮华的,
,contemporaries,同代人,
"TPO 33-2

Railroads and Commercial Agriculture in Nineteenth-Century United States",bushel,蒲式耳,
,bustling,繁忙的,
,lard,猪油,
,tallow,牛脂,
,prairie,大草原,
,erect,建立,
,surpluses,盈余,单数：surplus
,checkerboard,西洋跳棋盘,
"TPO 34-1

Islamic Art and the Book",parchment,羊皮纸,
,mosque,清真寺,
,adjacent,邻近的,
,cellulose,纤维素,cellulose pulp：纤维素纸浆
,pulp,纸浆,
,surplant,取代、代替,
,practitioner,习艺者、专门人才,
,correspondence ,通信、往来书信,
,inscription,碑文,
,repertory,仓库、贮藏（尤指知识等的）,
"TPO 34-2

The Development of Steam Power",stagnate,停滞、不发展、变萧条,
,condenser,冷凝器,
,bellow,咆哮,
,puddling ,搅炼、捣成泥浆,puddling furnace：搅铁炉
